id,title,group_id
1,Assistant Manager,4
2,CAO,4
3,CCO,4
4,CDO,4
5,CEO,4
6,CFO,4
7,Chairman,4
8,CHRO,4
9,CIO,4
10,CMO,4
11,Co-Founder,4
12,COO,4
13,CTO,4
14,Director,4
15,Founder,4
16,Head,4
17,Lead,4
18,Manager,4
19,Owner,4
20,Partner,4
21,President,4
22,Senior,4
23,Staff,4
24,Vice President,4
25,Assistant,1
26,D.Sc.,1
27,DA,1
28,Dean,1
29,DEng,1
30,Director,1
31,Dr.,1
32,Head,1
33,Lecturer,1
34,MD,1
35,Prof.,1
36,Staff,1
37,Assistant,2
38,D.Sc.,2
39,DA,2
40,Dean,2
41,DEng,2
42,Director,2
43,Dr.,2
44,Head,2
45,Lecturer,2
46,MD,2
47,Prof.,2
48,Staff,2
49,Bachelor,3
50,Master,3
51,PhD,3
